rows    | tot_costs   | exec_time(ms)  | exec_time_cs| plan_time   | ncond   | size  | stmt
----------------------------------------------------------------------------
? SET ROLE tfog_abells_cbudget_sdraft_u;
? SET ROLE postgres;
? SET ROLE tfog_acoast_cbudget_sdraft_u;
? SET ROLE postgres;
? SET ROLE tfog_acoast_cstatistics_stask_u;
1       | 0.26        | 79.125         | 8.1326      | 0.044       | 1     | 96325 |  WHERE udim1 LIKE 'public' AND bstream is not Null;
? SET ROLE postgres;
? SET ROLE tfog_abells_cbudget_sdraft_u;
? SET ROLE postgres;
? SET ROLE tfog_acoast_cbudget_sdraft_u;
? SET ROLE postgres;
? SET ROLE tfog_acoast_cstatistics_stask_u;
1       | 0.26        | 75.352         | 7.7331      | 0.039       | 1     | 96325 |  WHERE udim1 LIKE 'public' AND bstream is not Null;
? SET ROLE postgres;
? SET ROLE tfog_abells_cbudget_sdraft_u;
? SET ROLE postgres;
? SET ROLE tfog_acoast_cbudget_sdraft_u;
? SET ROLE postgres;
? SET ROLE tfog_acoast_cstatistics_stask_u;
? SET ROLE tfog_abells_cbudget_sdraft_u;
1       | 0.26        | 6.502          | 0.789       | 0.038       | 0     | 96325 |  WHERE bstream is not Null;
1       | 0.26        | 6.52           | 0.7149      | 0.038       | 0     | 96325 |  WHERE bstream is not Null;
1       | 0.26        | 7.831          | 0.8492      | 0.038       | 0     | 293376|  WHERE bstream is not Null;
1       | 0.26        | 7.907          | 0.8494      | 0.039       | 0     | 293376|  WHERE bstream is not Null;
1       | 0.26        | 6.479          | 0.7077      | 0.036       | 0     | 35328 |  WHERE bstream is not Null;
1       | 0.26        | 6.421          | 0.7034      | 0.038       | 0     | 35328 |  WHERE bstream is not Null;
1       | 0.26        | 6.72           | 0.7305      | 0.039       | 0     | 35328 |  WHERE bstream is not Null;
? SET ROLE tfog_abells_cbudget_sdraft_u;
1       | 0.26        | 6.526          | 0.7149      | 0.037       | 0     | 96325 |  WHERE bstream is not Null;
1       | 0.26        | 6.502          | 0.7129      | 0.037       | 0     | 96325 |  WHERE bstream is not Null;
1       | 0.26        | 7.894          | 0.8481      | 0.038       | 0     | 293376|  WHERE bstream is not Null;
1       | 0.26        | 7.985          | 0.8573      | 0.037       | 0     | 293376|  WHERE bstream is not Null;
1       | 0.26        | 6.534          | 0.7117      | 0.037       | 0     | 35328 |  WHERE bstream is not Null;
1       | 0.26        | 6.426          | 0.7011      | 0.037       | 0     | 35328 |  WHERE bstream is not Null;
1       | 0.26        | 6.471          | 0.7064      | 0.038       | 0     | 35328 |  WHERE bstream is not Null;
? SET ROLE tfog_abells_cbudget_sdraft_u;
1       | 0.26        | 6.592          | 0.7176      | 0.037       | 0     | 96325 |  WHERE bstream is not Null;
1       | 0.26        | 6.559          | 0.7144      | 0.037       | 0     | 96325 |  WHERE bstream is not Null;
1       | 0.26        | 8.145          | 0.8723      | 0.038       | 0     | 293376|  WHERE bstream is not Null;
1       | 0.26        | 7.914          | 0.8499      | 0.037       | 0     | 293376|  WHERE bstream is not Null;
